Mes,Año,Gasto,Presa
1,2018,243,Cofre de Perote
2,2018,205,Cofre de Perote
3,2018,284,Cofre de Perote
4,2018,280,Cofre de Perote
5,2018,173,Cofre de Perote
6,2018,162,Cofre de Perote
7,2018,139,Cofre de Perote
8,2018,169,Cofre de Perote
9,2018,186,Cofre de Perote
10,2018,216,Cofre de Perote
11,2018,249,Cofre de Perote
12,2018,153,Cofre de Perote
1,2019,260,Cofre de Perote
2,2019,254,Cofre de Perote
3,2019,246,Cofre de Perote
4,2019,216,Cofre de Perote
5,2019,135,Cofre de Perote
6,2019,163,Cofre de Perote
7,2019,169,Cofre de Perote
8,2019,157,Cofre de Perote
9,2019,161,Cofre de Perote
10,2019,177,Cofre de Perote
11,2019,184,Cofre de Perote
12,2019,202,Cofre de Perote
1,2020,187,Cofre de Perote
2,2020,163,Cofre de Perote
3,2020,152,Cofre de Perote
4,2020,145,Cofre de Perote
5,2020,136,Cofre de Perote
6,2020,130,Cofre de Perote
7,2020,124,Cofre de Perote
8,2020,135,Cofre de Perote
9,2020,140,Cofre de Perote
10,2020,150,Cofre de Perote
11,2020,NA,Cofre de Perote
12,2020,NA,Cofre de Perote
