Mes,Año,Gasto,Aguas,Presa
1,2018,434,Arriba,Pixquiac
2,2018,408,Arriba,Pixquiac
3,2018,316,Arriba,Pixquiac
4,2018,262,Arriba,Pixquiac
5,2018,239,Arriba,Pixquiac
6,2018,679,Arriba,Pixquiac
7,2018,344,Arriba,Pixquiac
8,2018,1104,Arriba,Pixquiac
9,2018,1600,Arriba,Pixquiac
10,2018,1453,Arriba,Pixquiac
11,2018,1076,Arriba,Pixquiac
12,2018,744,Arriba,Pixquiac
1,2019,397,Arriba,Pixquiac
2,2019,562,Arriba,Pixquiac
3,2019,355,Arriba,Pixquiac
4,2019,275,Arriba,Pixquiac
5,2019,216,Arriba,Pixquiac
6,2019,280,Arriba,Pixquiac
7,2019,513,Arriba,Pixquiac
8,2019,939,Arriba,Pixquiac
9,2019,513,Arriba,Pixquiac
10,2019,814,Arriba,Pixquiac
11,2019,565,Arriba,Pixquiac
12,2019,423,Arriba,Pixquiac
1,2020,269,Arriba,Pixquiac
2,2020,254,Arriba,Pixquiac
3,2020,237,Arriba,Pixquiac
4,2020,218,Arriba,Pixquiac
5,2020,216,Arriba,Pixquiac
6,2020,318,Arriba,Pixquiac
7,2020,385,Arriba,Pixquiac
8,2020,814,Arriba,Pixquiac
9,2020,760,Arriba,Pixquiac
10,2020,538,Arriba,Pixquiac
11,2020,NA,Arriba,Pixquiac
12,2020,NA,Arriba,Pixquiac
1,2018,187,Abajo,Pixquiac
2,2018,162,Abajo,Pixquiac
3,2018,110,Abajo,Pixquiac
4,2018,37,Abajo,Pixquiac
5,2018,42,Abajo,Pixquiac
6,2018,476,Abajo,Pixquiac
7,2018,97,Abajo,Pixquiac
8,2018,853,Abajo,Pixquiac
9,2018,1340,Abajo,Pixquiac
10,2018,1205,Abajo,Pixquiac
11,2018,821,Abajo,Pixquiac
12,2018,486,Abajo,Pixquiac
1,2019,142,Abajo,Pixquiac
2,2019,311,Abajo,Pixquiac
3,2019,108,Abajo,Pixquiac
4,2019,45,Abajo,Pixquiac
5,2019,12,Abajo,Pixquiac
6,2019,22,Abajo,Pixquiac
7,2019,252,Abajo,Pixquiac
8,2019,689,Abajo,Pixquiac
9,2019,267,Abajo,Pixquiac
10,2019,546,Abajo,Pixquiac
11,2019,317,Abajo,Pixquiac
12,2019,181,Abajo,Pixquiac
1,2020,51,Abajo,Pixquiac
2,2020,22,Abajo,Pixquiac
3,2020,21,Abajo,Pixquiac
4,2020,15,Abajo,Pixquiac
5,2020,12,Abajo,Pixquiac
6,2020,121,Abajo,Pixquiac
7,2020,131,Abajo,Pixquiac
8,2020,525,Abajo,Pixquiac
9,2020,523,Abajo,Pixquiac
10,2020,278,Abajo,Pixquiac
11,2020,NA,Abajo,Pixquiac
12,2020,NA,Abajo,Pixquiac
