pH    In situ,Adimensional,"5,0-9,0"
Temperatura del Agua ,° C,
Temperatura del ambiente ,° C,
Materia Flotante,***,
Olor,AUSENTE,
Conductividad ,microS/cm,
pH ,Adimensional,
Turbiedad UTN,NTU,
Color,(Pt/Co),
Olor,AUSENTE,
Conductividad (micro s/cm),microS/cm,
Solidos disueltos Totales (SDT),mg/L,
Acidez total (como CaCO3),mg/L,
Alcalinidad total (como CaCO3),mg/L,
Cloruros (como ClNA),mg/L,
Dureza total (como CaCO3),mg/L,
Nitratos (como NNANO3),mg/L,50
Nitritos (como NNANO2),mg/L,3
Fósforo total (comoPO4),mg/L,
Sulfatos (SO4),mg/L,
Fluor (como FNA),mg/L,
Sustancias activas al Azul de metileno (Detergentes),mg/L,
Fenol como compuestos fenólicos,mg/L,
Cadmio,mg/L,0.003
Plomo,mg/L,0.01
Cianuro ,mg/L,
Cobre ,mg/L,2
Cromo ,mg/L,0.05
Arsénico ,mg/L,0.01
 Manganeso,mg/L,
Zinc,mg/L,
Fierro,mg/L,
Coliformes totales,NMP/100 ml,
Coliformes Fecales,NMP/100 ml,
