Año,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021
Fecha,22/02/05,03/05/05,19/08/05,25/10/05,02/02/06,24/04/06,04/07/06,04/09/06,09/02/07,13/05/07,20/07/07,10/12/07,07/02/08,05/05/08,14/07/08,23/10/08,02/03/09,18/05/09,25/08/09,17/11/09,08/03/10,24/05/10,09/08/10,22/11/10,28/02/11,30/05/11,19/09/11,05/12/11,06/02/12,28/05/12,20/08/12,03/12/12,11/03/13,27/05/13,09/07/13,19/11/13,18/03/14,10/06/14,01/09/14,24/11/14,17/03/15,25/05/15,31/08/15,30/11/15,07/03/16,06/06/16,29/08/16,28/11/16,13/03/17,29/05/17,28/08/17,04/12/17,12/03/18,04/06/18,20/08/18,20/11/18,11/03/19,27/05/19,26/08/19,25/11/19,17/03/20,15/06/20,01/09/20,30/11/20,08/03/21
pH    In situ,7.36,7.59,7.45,7.20,6.87,6.98,7.61,7.14,7.64,NA,7.24,7.32,7.13,7.04,7.90,7.70,7.20,7.10,6.80,6.80,6.80,7.00,7.00,7.00,7.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperatura del Agua ,14.00,15.50,15.00,14.00,18.00,14.00,17.00,14.30,13.00,18.00,17.00,15.00,17.00,16.00,16.00,12.00,10.00,17.00,16.00,14.00,17.00,16.00,17.00,13.00,16.00,17.00,14.00,12.00,13.00,10.00,15.00,11.00,14.00,15.00,14.00,14.00,17.00,15.00,15.00,14.00,12.00,15.00,13.00,14.00,13.00,14.00,14.00,13.00,14.00,14.00,15.00,13.00,14.00,15.00,16.00,14.00,15.00,16.00,15.00,10.00,15.00,8.00,17.00,14.00,13.00
Temperatura del ambiente ,NA,NA,NA,NA,19.00,19.00,21.00,23.10,22.00,25.00,21.00,27.00,20.00,20.00,20.00,20.00,12.00,20.00,23.00,20.00,23.00,24.00,24.00,26.00,28.00,30.00,23.00,22.00,20.00,27.00,22.00,20.00,20.00,20.00,26.00,22.00,24.00,21.00,23.00,20.00,20.00,24.00,23.00,21.00,18.00,21.00,25.00,22.00,18.00,22.00,23.00,22.00,18.00,26.00,21.00,23.00,20.00,25.00,29.00,24.00,25.00,24.00,26.00,19.00,18.00
Materia Flotante,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,56.60,ausente,ausente,ausente,ausente
Olor,ausente,inodoro,ausente,ausente,inodoro,inodoro,inodoro,ausente,ausente,agradable,agradable,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
Cloro residual,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conductividad ,NA,NA,46.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pH ,7.33,7.24,7.55,7.58,7.69,7.74,7.31,7.30,7.64,7.29,7.42,7.69,7.76,7.47,7.15,7.32,7.14,6.69,7.22,7.14,7.54,7.48,7.45,7.36,7.23,7.39,6.36,6.20,6.87,7.52,7.76,7.50,7.56,7.69,7.52,7.11,7.39,7.55,7.49,7.16,7.39,7.42,7.30,7.41,7.36,7.26,7.93,7.69,7.87,7.71,7.59,7.58,7.82,7.45,7.21,6.78,7.77,7.51,8.02,7.95,7.63,7.67,7.94,7.90,6.47
