Año,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,,,,,,,
Fecha,28/01/05,12/04/05,28/07/05,11/10/05,12/01/06,07/04/06,04/07/06,31/08/06,03/02/07,13/05/07,20/07/07,14/12/07,07/02/08,21/04/08,14/07/08,13/10/08,02/03/09,18/05/09,25/08/09,17/11/09,08/03/10,24/05/10,09/08/10,22/11/10,28/02/11,30/05/11,12/09/11,05/12/11,07/02/12,28/05/12,20/08/12,03/12/12,11/03/13,27/05/13,10/07/13,19/11/13,18/03/14,10/06/14,01/09/14,24/11/14,11/03/15,25/05/15,31/08/15,30/11/15,07/03/16,06/06/16,29/08/16,28/11/16,13/03/17,29/05/17,28/08/17,04/12/17,12/03/18,04/06/18,20/08/18,20/11/18,11/03/19,27/05/19,26/08/19,25/11/19,17/03/20,15/06/20,01/09/20,30/11/20,08/03/21,,,,,,,
pH    In situ,7.60,7.05,7.40,6.65,7.79,6.83,7.37,6.51,7.51,NA,6.67,6.22,6.23,6.99,7.30,7.40,7.40,6.80,6.90,7.00,6.90,7.00,7.00,7.00,7.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Temperatura del Agua ,13.50,13.00,16.00,16.00,12.50,18.00,19.00,17.50,14.00,22.00,18.00,15.00,17.00,18.00,17.90,16.00,10.00,18.00,17.00,15.00,15.00,19.00,15.00,12.00,17.00,20.00,15.00,12.00,14.00,17.00,12.00,13.00,15.00,16.00,15.00,14.00,15.00,14.00,13.00,15.00,13.00,13.00,15.00,15.00,13.00,12.00,12.00,14.00,14.00,15.00,16.00,12.00,15.00,13.00,16.00,12.00,13.00,18.00,19.00,8.00,16.00,12.00,16.00,12.00,15.00,,,,,,,
Temperatura del ambiente ,NA,NA,NA,NA,25.70,24.00,22.00,31.90,19.00,22.00,23.00,20.00,23.00,25.00,25.00,21.00,11.00,19.00,25.00,17.00,23.00,26.00,25.00,24.00,28.00,27.00,21.00,23.00,18.00,28.00,24.00,24.00,18.00,20.00,26.00,21.00,26.00,22.00,26.00,22.00,17.00,26.00,23.00,23.00,24.00,21.00,25.00,22.00,18.00,24.00,24.00,22.00,18.00,26.00,24.00,23.00,16.00,28.00,30.00,24.00,25.00,24.00,27.00,17.00,18.00,,,,,,,
Materia Flotante,ausente,ausente,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,NA,ausente,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,44.30,ausente,ausente,ausente,ausente,,,,,,,
Olor,NA,ausente,ausente,ausente,NA,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,,,,,
Cloro residual,0.00,0.00,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Conductividad ,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
pH ,NA,7.01,7.36,7.31,7.64,7.53,7.61,6.51,7.51,7.27,7.27,7.51,7.60,7.62,7.30,7.31,7.49,7.01,7.33,6.96,7.52,7.44,7.45,7.23,7.07,7.36,6.74,6.24,7.06,7.47,7.54,7.60,7.68,7.61,7.50,7.16,7.47,7.48,7.51,7.02,7.32,7.41,7.30,7.47,7.50,7.18,7.64,7.78,7.71,7.75,7.57,7.77,7.85,7.38,7.22,6.95,7.98,7.96,7.97,7.72,8.20,7.98,7.89,7.47,7.03,,,,,,,
