"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6410967","30038312111000016000003816S8"," PLANTA ORIZABA","PROPIMEX S DE RL DE CV","312111","Elaboración de refrescos y otras bebidas no alcohólicas","251 y más personas","CALLE","CAMINO A LAS HACIENDAS","CALLE","PONIENTE 11","CALLE","PONIENTE 9","CALLE","SUR 8","0",,,,"0",,"COLONIA","CENTRO",,,,"94300","30","VERACRUZ DE IGNACIO DE LA LLAVE","038","Coatepec","0001","Coatepec","030A","015",,"ADRIANA.JIMENEZ@KOF.COM.MX","WWW.COCA-COLAMEXICO.COM.MX","Fijo","19.45158508","-96.94319515","2010-07"
"6238518","30024311921000011002012534S2","AC LA LAJA SA DE CV","AC LA LAJA SA DE CV","311921","Beneficio del café","51 a 100 personas","CARRETERA","TOTUTLA-XALAPA","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","SN",,,"0",,"PUEBLO","EL TROPICO",,,,"94020","30","VERACRUZ DE IGNACIO DE LA LLAVE","024","Tlaltetela","0040","El Trópico","0022","001",,"CONTABILIDAD@LALAJA.COM.MX","WWW.CAFELALAJA.COM.MX","Fijo","19.28527725","-96.9478591","2014-12"
"4261547","30183431193000012011000000U5","AGROINDUSTRIA BARZAL","AGROINDUSTRIA BARZAL SA DE CV","311921","Beneficio del café","0 a 5 personas","CALLE","5 DE FEBRERO","CALLE","16 DE SEPTIEMBRE","PROLONGACION","GUTIERREZ ZAMORA","CALLE","POZA DEL FRAILE","111",,,,,,"COLONIA","BARRIO ITZAPAN",,,,"93650","30","VERACRUZ DE IGNACIO DE LA LLAVE","183","Tlapacoyan","0001","Tlapacoyan","0283","003",,,,"Fijo","19.95620385","-97.21391171","2014-12"
"8396743","30044311922000103000000000U3","AGROINDUSTRIAS DE CAFE DOS PUENTES SPR DE RL DE CV","AGROINDUSTRIAS DE CAFE DOS PUENTES SA DE CV","311922","Elaboración de café tostado y molido","11 a 30 personas","CALZADA","MORELOS","AVENIDA","EL BARREAL","CALLE","NINGUNO","AVENIDA","EL BARREAL","1803",,,,,,"COLONIA","SANTA MATILDE",,,,"94533","30","VERACRUZ DE IGNACIO DE LA LLAVE","044","Córdoba","0001","Córdoba","0720","001",,,,"Fijo","18.90840309","-96.9585556","2019-11"
"6412493","30044431150000064000003394S0","AGROINDUSTRIAS UNIDAS DE MÉXICO","AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV","311921","Beneficio del café","11 a 30 personas","CALLE","TRES","CALLE","PATRONA","CALLE","CUARENTA Y TRES","CARRETERA","CÓRDOBA-PEÑUELA","4303",,,,"0",,"COLONIA","ZONA INDUSTRIAL",,,,"94690","30","VERACRUZ DE IGNACIO DE LA LLAVE","044","Córdoba","0001","Córdoba","0186","006",,"GREALI@ECOMTRADING.COM",,"Fijo","18.87699741","-96.92064782","2010-07"
"6774854","30065431150000011002003394S6","AGROINDUSTRIAS UNIDAS DE MÉXICO DOS RIOS","AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV","311921","Beneficio del café","31 a 50 personas","CARRETERA","NACIONAL XALAPA-ENRÍQUEZ-VERACRUZ (AVENIDA CARLOS HERNÁNDEZ FRANSCECHY)","CARRETERA","CAMINO AL PANTEON","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","SANTA ROSA","0","SN",,,"0",,"LOCALIDAD","DOS RIOS",,,,"91634","30","VERACRUZ DE IGNACIO DE LA LLAVE","065","Emiliano Zapata","0001","Dos Ríos","010A","011",,"GREALI@ECOMTRADING.COM",,"Fijo","19.48308341","-96.79868205","2016-10"
"8396505","30071311921000121000000000S0","AMSA","AGROINDUSTRIAS UNIDAS DE MEXICO AMSA SA DE CV","311921","Beneficio del café","0 a 5 personas","CALLE","TRECE","CALLE","2 ORIENTE","CALLE","KILOMETRO 44 FORTIN-CONEJOS","CALLE","NINGUNO",,"SN",,,,,"CIUDAD","CRUXTITLA",,,,"94100","30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0001","Huatusco de Chicuellar","0107","033",,,,"Fijo","19.15126734","-96.95776017","2019-11"
"4285322","30080311922000031000000000U0","ARTESANIAS MI CAFÉ",,"311922","Elaboración de café tostado y molido","0 a 5 personas","AVENIDA","INDEPENDENCIA","CALLE","LERDO DE TEJADA","CALLE","FILANTROPIA","AVENIDA","CENTENARIO","55",,,,"0",,"COLONIA","CENTRO",,,,"94180","30","VERACRUZ DE IGNACIO DE LA LLAVE","080","Ixhuatlán del Café","0001","Ixhuatlán del Café","006A","007",,,,"Fijo","19.05299864","-96.98663505","2014-12"
"6407231","30092311921000073000012618M9","BENEFICIADORES DE CAFES ARESCA SA DE CV","BENEFICIADORES DE CAFES ARESCA SA DE CV","311921","Beneficio del café","0 a 5 personas","CALLE","FRANCISCO JAVIER MINA","CALLE","IGNACIO ALDAMA","AVENIDA","VICENTE GUERRERO","CALLE","SEBASTIÁN L DE TEJADA","20",,,,,,"COLONIA","CENTRO",,,,"91240","30","VERACRUZ DE IGNACIO DE LA LLAVE","092","Xico","0001","Xico","0179","005",,,,"Fijo","19.42413751","-97.01287634","2014-12"
"6881399","30071311921000081001026935S6","BENEFICIO DE CAFE","INDUSTRIALES DE HUATUSCO SC DE RL DE CV","311921","Beneficio del café","6 a 10 personas","CARRETERA","SIN NOMBRE","CARRETERA","NINGUNO","OTRO (ESPECIFIQUE)","SIN REFERENCIA","OTRO (ESPECIFIQUE)","NINGUNO","0","SN",,,"0",,"LOCALIDAD","MESA DEL RANCHO",,,,"94100","30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0016","Mesa del Rancho","0022","012",,,,"Fijo","19.12209323","-96.94665316","2019-04"
"9166859","30128311921000021000012315S0","BENEFICIO DE CAFE  SAN ANTONIO LIMÓN TOTALCO","CAFES TOMARI SA DE CV","311921","Beneficio del café","51 a 100 personas","CARRETERA","SAN HIPOLITO - XALAPA","CALLE","URSULO GALVAN","OTRO (ESPECIFIQUE)","SIN REFERENCIA","OTRO (ESPECIFIQUE)","MANZANA 800","0","SN",,,"0",,"LOCALIDAD","SAN ANTONIO LIMON TOTALCO",,,,"91282","30","VERACRUZ DE IGNACIO DE LA LLAVE","128","Perote","0083","El Limón Totalco","0050","800",,"FLOR.TOMARI@GRUPOCASMO.COM",,"Fijo","19.50628927","-97.33955946","2019-11"
"6407057","30023311922000024001000000U5","BENEFICIO DE CAFE ARIC DE RI PRODUCTOS AGROPECUARIOS DE LA REGIÓN DE PLAN DE ARROYOS",,"311921","Beneficio del café","11 a 30 personas","CALLE","5 DE MAYO (CENTRAL)","CALLE","SIN REFERENCIA","CALLE","HIDALGO","CALLE","JUSTO SIERRA (INSURGENTES)",,"SN",,,,,"COLONIA","CENTRO",,,,"93695","30","VERACRUZ DE IGNACIO DE LA LLAVE","023","Atzalan","0054","Plan de Arroyos","0133","024",,"ARIC_PLANDEARROYOS@HOTMAIL.COM",,"Fijo","19.89283602","-97.11149123","2010-07"
"4365163","30183311921000021001000000U5","BENEFICIO DE CAFE AROMAS DE TLAPACOYAN",,"311921","Beneficio del café","0 a 5 personas","CALLE","MIGUEL ALEMAN VALDES","CALLE","POZA DEL FRAILE","PRIVADA","GUADALUPE VICTORIA","CALLE","POZA DEL FRAILE","101",,,,,,"COLONIA","ITZAPA",,,,"93650","30","VERACRUZ DE IGNACIO DE LA LLAVE","183","Tlapacoyan","0001","Tlapacoyan","0283","036","2253152963",,,"Fijo","19.95291296","-97.2142874","2010-07"
"6465063","30164311922000043010000000U7","BENEFICIO DE CAFE BML BEATRIZ MARTINEZ LOBATO",,"311921","Beneficio del café","0 a 5 personas","CALLE","FRANCISCO I. MADERO","CALLE","FRANCISCO I. MADERO","CALLE","SUCHIL","CARRETERA","XALAPA TEOCELO",,"SN",,,,,"COLONIA","CENTR0",,,,"91615","30","VERACRUZ DE IGNACIO DE LA LLAVE","164","Teocelo","0001","Teocelo","0057","014",,,,"Fijo","19.38927653","-96.97729405","2010-07"
"4419202","30062311921000013001000000U8","BENEFICIO DE CAFÉ CATUAÍ AMARILLO S.S.S","BENEFICIO DE CAFÉ CATUAÍ AMARILLO S DE SS ","311921","Beneficio del café","0 a 5 personas","AVENIDA","2 VICENTE GUERRERO SALDAÑA","AVENIDA","VICENTE GUERRERO SALDAÑA","CALLE","MANUEL AVILA CAMACHO","AVENIDA","4 AMADO NERVO",,"SN",,,,,"COLONIA","CENTRO",,,,"94160","30","VERACRUZ DE IGNACIO DE LA LLAVE","062","Chocamán","0001","Chocamán","0042","020",,,,"Fijo","19.01186963","-97.02649949","2010-07"
"9000646","30046311921000111000000000U3","BENEFICIO DE CAFE CEREZA SIN NOMBRE",,"311921","Beneficio del café","0 a 5 personas","PRIVADA","NINGUNO","PRIVADA","NINGUNO","PROLONGACION","HIDALGO","OTRO (ESPECIFIQUE)","NINGUNO",,"SN",,,,,"BARRIO","LOS CARRILES",,,,"91620","30","VERACRUZ DE IGNACIO DE LA LLAVE","046","Cosautlán de Carvajal","0001","Cosautlán de Carvajal","0034","004",,,,"Fijo","19.32996537","-96.97822081","2019-11"
"4286951","30068311921000031000000000U7","BENEFICIO DE CAFE FINCA EL REY",,"311921","Beneficio del café","0 a 5 personas","BOULEVARD","CORDOBA-FORTIN","BOULEVARD","CORDOBA ORIZABA","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"COLONIA","VILLA UNION",,,,"94470","30","VERACRUZ DE IGNACIO DE LA LLAVE","068","Fortín","0001","Fortín de las Flores","0239","008",,,"WWW.FINCAELREY.COM","Fijo","18.90178673","-96.98944924","2014-12"
"4255416","30037431199000012000000000U0","BENEFICIO DE CAFE HUMEDO",,"311921","Beneficio del café","0 a 5 personas","AVENIDA","ALLENDE","CALLE","GALEANA","CALLE","JUAREZ","OTRO (ESPECIFIQUE)","NINGUNO","0","SN","EDIFICIO SIN NOMBRE","PISO 1","0",,"COLONIA","CENTRO",,,,"93120","30","VERACRUZ DE IGNACIO DE LA LLAVE","037","Coahuitlán","0001","Progreso de Zaragoza","0020","042",,,,"Fijo","20.27603193","-97.71577621","2010-07"
"8069359","30166311921000013000000000U7","BENEFICIO DE CAFE KINICH",,"311921","Beneficio del café","0 a 5 personas","CALLE","INDEPENDENCIA","CALLE","ALDAMA","CALLE","CALLE DEL SALTO","CALLE","CALLE DEL SALTO",,"SN",,,,,"COLONIA","CENTRO",,,,"91430","30","VERACRUZ DE IGNACIO DE LA LLAVE","166","Tepetlán","0001","Tepetlán","0028","016",,,,"Fijo","19.67617563","-96.79711189","2019-11"
"9023602","30071311921000114000000000U5","BENEFICIO DE CAFE LA FORTUNA","SOCIEDAD EXPORTADORA DE HUATUSCO SA DE CV","311921","Beneficio del café","31 a 50 personas","CALLE","KILOMETRO 44 FORTIN-CONEJOS","AVENIDA","KILOMETRO 44 FORTIN-CONEJOS","AVENIDA","6 ORIENTE","AVENIDA","KILÓMETRO 44 FORTÍN-CONEJOS",,"SN",,,,,"CIUDAD","CRUXTITLA",,,,"94100","30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0001","Huatusco de Chicuellar","0107","041",,,,"Fijo","19.15352134","-96.96184976","2019-11"
"7623525","30014311921000011000000000U3","BENEFICIO DE CAFE RUBIO",,"311921","Beneficio del café","0 a 5 personas","CALLE","ABASOLO","CALLE","GUILLERMO A SHERWEL","CALLE","ADOLFO LOPEZ MATEOS","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ",,"SN",,,,,"COLONIA","SAN ISIDRO",,,,"94540","30","VERACRUZ DE IGNACIO DE LA LLAVE","014","Amatlán de los Reyes","0015","Paraje Nuevo","0168","013",,,,"Fijo","18.87804504","-96.8562232","2019-11"
"4365150","30183461190000171010000000M8","BENEFICIO DE CAFE SAN JOSE",,"311921","Beneficio del café","0 a 5 personas","CALLE","MIGUEL ALEMAN VALDES","CALLE","BOLIVAR","CALLE","MANUEL ÁVILA CAMACHO","CALLE","MANUEL ÁVILA CAMACHO",,"SN",,,,,"COLONIA","LAZARO CARDENAS",,,,"93650","30","VERACRUZ DE IGNACIO DE LA LLAVE","183","Tlapacoyan","0001","Tlapacoyan","0283","018",,,,"Fijo","19.95225462","-97.21583042","2010-07"
"4438193","30092311921000062000000000U2","BENEFICIO DE CAFE SAN JUDAS TADEO",,"311921","Beneficio del café","0 a 5 personas","CALZADA","CALZADA AL PANTEON","CALLE","ALDAMA","CALLE","NINGUNO","CALLE","LOS CARRILES","0","SN",,,"0",,"COLONIA","TECOATL",,,,"91605","30","VERACRUZ DE IGNACIO DE LA LLAVE","092","Xico","0012","San Marcos de León (San Marcos)","0060","019",,,,"Fijo","19.41920548","-96.96307046","2010-07"
"7626945","30092311921000111000000000U7","BENEFICIO DE CAFE SAN MARCOS",,"311921","Beneficio del café","0 a 5 personas","CALLE","VENUSTIANO CARRANZA","CALLE","CALLE A EL PANTEON","CALLE","JUAN PABLO II","PRIVADA","NINGUNO",,"SN",,,,,"COLONIA","RAFAEL HERNANDEZ OCHOA",,,,"91605","30","VERACRUZ DE IGNACIO DE LA LLAVE","092","Xico","0012","San Marcos de León (San Marcos)","0060","025",,,,"Fijo","19.41860916","-96.96627867","2019-11"
"4439535","30164311922000021010000000U3","BENEFICIO DE CAFE SAN NICOLAS",,"311921","Beneficio del café","0 a 5 personas","CALLE","PROLONGACION DE HIDALGO","PROLONGACION","HIDALGO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","CAMINO A SANTA ROSA",,"SN",,,,,"COLONIA","CENTRO",,,,"91615","30","VERACRUZ DE IGNACIO DE LA LLAVE","164","Teocelo","0001","Teocelo","0038","001",,,,"Fijo","19.39397059","-96.98148694","2010-07"
"9010858","30092311921000122000000000U4","BENEFICIO DE CAFE SIN NOMBRE",,"311921","Beneficio del café","6 a 10 personas","CALLE","BENITO JUAREZ","CALLE","CAROLINO ANAYA","CALLE","VEREDA EMPEDRADA","CALLE","VENUSTIANO CARRANZA",,"SN",,,,,"COLONIA","RAFAEL HERNANDEZ OCHOA",,,,"91605","30","VERACRUZ DE IGNACIO DE LA LLAVE","092","Xico","0012","San Marcos de León (San Marcos)","0060","038",,,,"Fijo","19.41653031","-96.9688906","2019-11"
"4396098","30109311922000041000000000U6","BENEFICIO DE CAFE TOSTADO SIN NOMBRE",,"311922","Elaboración de café tostado y molido","0 a 5 personas","PRIVADA","CAROLINO ANAYA","AVENIDA","MANUEL ÁVILA CAMACHO","PROLONGACION","BENITO JUAREZ","AVENIDA","MANUEL ÁVILA CAMACHO",,"SN",,,,,"COLONIA","MARCO ANTONIO MUÑOZ",,,,"93829","30","VERACRUZ DE IGNACIO DE LA LLAVE","109","Misantla","0001","Misantla","0106","001","2351033770",,,"Fijo","19.94058441","-96.8540144","2010-07"
"8129657","30165311921000013000000000U9","BENEFICIO DE CAFE TRIGO ROJO","TRIGO ROJO SC DE RL","311921","Beneficio del café","11 a 30 personas","AVENIDA","JOSE MARIA MORELOS Y PAVON","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","GUERRERO","OTRO (ESPECIFIQUE)","NINGUNO",,"SN",,,,,"COLONIA","TEPATLAXCO",,,,"94190","30","VERACRUZ DE IGNACIO DE LA LLAVE","165","Tepatlaxco","0001","Tepatlaxco","0020","017",,,,"Fijo","19.07046446","-96.84444175","2019-11"
"4235002","30068431199000011011000000M7","BENEFICIO DE CAFE VERDE Y TOSTADO DE CAFE",,"311921","Beneficio del café","6 a 10 personas","AVENIDA","UNO","CALZADA","FORTIN VIEJO","CALLE","DOCE","CALLE","NINGUNO","711","B",,,,,"COLONIA","TERMINAL",,,,"94474","30","VERACRUZ DE IGNACIO DE LA LLAVE","068","Fortín","0001","Fortín de las Flores","0205","018",,,,"Fijo","18.89722318","-97.00655143","2010-07"
"4399342","30109311921000021000000000U0","BENEFICIO DE HUMEDO DE CAFE SAN ISIDRO",,"311921","Beneficio del café","0 a 5 personas","CALLE","INSURGENTES","CALLE","RAFEL MURILLO VIDAL","CALLE","PLAYA VERDE","CALLE","RUBÍ","0","SN",,,"0",,"COLONIA","EL MIRADOR",,,,"93827","30","VERACRUZ DE IGNACIO DE LA LLAVE","109","Misantla","0001","Misantla","0110","032",,,,"Fijo","19.92946862","-96.84089767","2010-07"
"8921943","30087311921000075000000000U4","BENEFICIO DEL CAFÉ",,"311921","Beneficio del café","51 a 100 personas","AVENIDA","MANUEL ÁVILA CAMACHO","CALLE","ÁVILA CAMACHO","CALLE","RAFAEL RAMÍREZ","AVENIDA","MANUEL ÁVILA CAMACHO","116",,,,,,"COLONIA","CENTRO",,,,"91000","30","VERACRUZ DE IGNACIO DE LA LLAVE","087","Xalapa","0001","Xalapa-Enríquez","0107","017",,"XALAPAOFICINA8@HOTMAIL.COM",,"Fijo","19.53728584","-96.93287174","2019-11"
"7037739","30093311921000011000000000U7","BENEFICIO DEL CAFÉ",,"311921","Beneficio del café","0 a 5 personas","CALLE","MIGUEL ANGEL MORADO GARRIDO","AVENIDA","16 DE SEPTIEMBRE","CALLE","CALLE DEL POCITO","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ","0","SN",,,"0",,"COLONIA","JILOTEPEC",,,,"91380","30","VERACRUZ DE IGNACIO DE LA LLAVE","093","Jilotepec","0001","Jilotepec","0034","008","2281544355",,,"Fijo","19.61206711","-96.94884085","2019-11"
"4441378","30046311921000021000000000U4","BENEFICIO DEL CAFÉ SIN NOMBRE",,"311922","Elaboración de café tostado y molido","0 a 5 personas","CALLE","MELCHOR OCAMPO","PRIVADA","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","SN",,,"0",,"BARRIO","NARANJALES",,,,"91620","30","VERACRUZ DE IGNACIO DE LA LLAVE","046","Cosautlán de Carvajal","0001","Cosautlán de Carvajal","0034","019",,,,"Fijo","19.33670411","-96.98189746","2010-07"
"6410976","30071311921000031001012618S1","BENEFICIO EL OCOTE","BENEFICIADORES DE CAFES ARESCA SA DE CV","311921","Beneficio del café","11 a 30 personas","CARRETERA","SIN NOMBRE","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,"COLONIA","NINGUNO",,,,"94100","30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0018","El Ocote","0022","006",,,,"Fijo","19.13192688","-96.89486044","2010-07"
"4303074","30113311921000012001000000U1","BENEFICIO HUMEDO Y SECO AGUILAR",,"311921","Beneficio del café","0 a 5 personas","CALLE","HIDALGO","CALLE","NEXA","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","NEXA",,"SN",,,,,"LOCALIDAD","NARANJAL",,,,"94880","30","VERACRUZ DE IGNACIO DE LA LLAVE","113","Naranjal","0001","Naranjal","0024","016","7514135",,,"Fijo","18.81251664","-96.96356608","2014-12"
"6407138","30071311921000011001000000U3","BENEFICIO HUMEDO Y SECO PROFESOR MANUEL SEDAS RINCON","UNION REGIONAL DE PEQUENOS PRODUCTORES DE CAFE AGROPECUARIOS FORESTAL ","311921","Beneficio del café","0 a 5 personas",,"KILÓMETRO 44 FORTÍN-CONEJOS",,"13",,"NINGUNO",,"2 ORIENTE",,"SN",,,,,,"CRUXTITLA",,,,,"30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0001","Huatusco de Chicuellar","0107","033",,,,"Fijo","19.14900031","-96.95352419","2010-07"
"8129983","30071311921000141000000000M8","BENEFICIO MIXTO PROFESOR MANUEL SEDAS RINCON","UNION REGIONAL DE PEQUEÑOS PRODUCTORES DE CAFE AGROPECUARIA FORESTAL Y AGROINDUSTRIAS DE LA ZONA DE HUATUSCO VERACRUZ S DE SS ","311921","Beneficio del café","0 a 5 personas","AVENIDA","KILOMETRO 44 FORTIN-CONEJOS","AVENIDA","6 ORIENTE","CALLE","KILOMETRO 44 FORTIN-CONEJOS","AVENIDA","6 ORIENTE",,"SN",,,,,"CIUDAD","CRUXTITLA",,,,"94100","30","VERACRUZ DE IGNACIO DE LA LLAVE","071","Huatusco","0001","Huatusco de Chicuellar","0107","041","2737340092","UREGIONAL@PRODIGY.NET.MX",,"Fijo","19.15510374","-96.96102401","2019-11"
"7640374","30038311921000051000000000U8","BENEFICIO PACHO VIEJO",,"311921","Beneficio del café","0 a 5 personas","PRIVADA","NUMERO 2 REVOLUCION","CALLE","SIN REFERENCIA","AVENIDA","REVOLUCION","CALLE","SIN REFERENCIA","0","SN",,,"0",,"CIUDAD","CENTRO",,,,"91602","30","VERACRUZ DE IGNACIO DE LA LLAVE","038","Coatepec","0015","Pacho Viejo","0136","051",,,,"Fijo","19.48300654","-96.92270803","2019-11"
