MUN,NOM_MUN,NOM_LOC,POBTOT
0,Total de la entidad Veracruz de Ignacio de la Llave,Total de la Entidad,8062579
0,Total de la entidad Veracruz de Ignacio de la Llave,Localidades de una vivienda,21944
0,Total de la entidad Veracruz de Ignacio de la Llave,Localidades de dos viviendas,13479
1,Acajete,Total del Municipio,9701
1,Acajete,Acajete,1810
1,Acajete,Barranquillas,149
1,Acajete,Colexta,8
1,Acajete,Cruz Verde,67
1,Acajete,Dos Veredas,193
1,Acajete,El Encinal,80
1,Acajete,La Joya Chica,464
1,Acajete,La Joya,1489
1,Acajete,Mazatepec,1234
1,Acajete,Mesa de la Yerba,509
1,Acajete,El Mirador,42
1,Acajete,Plan de Sedeño,654
1,Acajete,Puentecillas,570
1,Acajete,Rincón de la Joya,80
1,Acajete,Vega de Pixquiac,44
1,Acajete,El Zapotal,134
1,Acajete,Tierra Prieta,56
1,Acajete,Acocota,646
1,Acajete,Cuesta del Vaquero,82
1,Acajete,El Encinal Dos,129
1,Acajete,Parajillos,144
1,Acajete,El Rincón de Sedeño,36
1,Acajete,El Saucal,100
1,Acajete,El Rodeo,352
1,Acajete,Toxtlacoayilla,177
1,Acajete,Pata Mole,162
1,Acajete,Loma del Muerto,4
1,Acajete,Pipincal,10
1,Acajete,El Quemado,44
1,Acajete,Pozo Seco,10
1,Acajete,El Fortín,2
1,Acajete,Coletxa,26
1,Acajete,El Muñeco,44
1,Acajete,Acajete,44
1,Acajete,El Capulín,13
1,Acajete,La Posta,6
1,Acajete,La Yerbabuena,1
1,Acajete,Las Bayas,6
1,Acajete,Paraíso las Flores (La Vaquita),3
1,Acajete,El Mirador (Rancho Ecológico),4
1,Acajete,La Herradura,3
1,Acajete,El Mirador Dos (Parte Baja),17
1,Acajete,Cinco de Mayo (Los Chávez),53
1,Acajete,Localidades de una vivienda,23
1,Acajete,Localidades de dos viviendas,24
2,Acatlán,Total del Municipio,3441
2,Acatlán,Acatlán,3253
2,Acatlán,Veinticuatro,129
2,Acatlán,Plan del Pino (Plan del Coyote),50
2,Acatlán,La Gloria,5
2,Acatlán,Los Duraznos,4
2,Acatlán,Localidades de dos viviendas,9
3,Acayucan,Total del Municipio,80815
3,Acayucan,Acayucan,48567
3,Acayucan,Michapan,194
3,Acayucan,Aguapinole (Cuapinole),603
3,Acayucan,Cabañas,322
3,Acayucan,Campo de Águila,932
3,Acayucan,El Mangal,2
3,Acayucan,Cascajal del Río (Cascajalillo),399
3,Acayucan,Colonia Hidalgo,1199
3,Acayucan,Comején,1271
3,Acayucan,Corral Nuevo,3352
3,Acayucan,Dehesa,3438
3,Acayucan,Esperanza Malota,688
3,Acayucan,Gran Bretaña,207
3,Acayucan,El Hato,830
3,Acayucan,Congregación Hidalgo,1456
3,Acayucan,Ixhuapan,1273
3,Acayucan,Ixtagapa,799
3,Acayucan,Michapan Paso Real,768
3,Acayucan,Monte Grande,554
3,Acayucan,Nuevo Poblado Vista Hermosa,508
3,Acayucan,Paraíso,4
3,Acayucan,Paso Limón,403
3,Acayucan,Quiamoloapan,1430
3,Acayucan,San Ángel,923
3,Acayucan,Apaxta,300
3,Acayucan,San Juanillo,104
3,Acayucan,San Martín,225
3,Acayucan,San Miguel,575
3,Acayucan,Santa Rita Laurel,866
3,Acayucan,Tecuanapa,945
3,Acayucan,Tierra Colorada,434
3,Acayucan,Vista Hermosa,378
3,Acayucan,El Zapote,188
3,Acayucan,Alfredo Cuadra I. Piña,360
3,Acayucan,El Benemérito (El Cazador),6
3,Acayucan,Nuevos Órganos (El Mirador),79
3,Acayucan,La Peña,264
3,Acayucan,Tres Cerros,2
3,Acayucan,La Primavera,4
3,Acayucan,Xalapa Calería,170
3,Acayucan,Finca Jalapa,2
3,Acayucan,Los Pasiegos (El Novillero),14
3,Acayucan,San Luis,304
3,Acayucan,Pitalillo,571
3,Acayucan,San Judas Tadeo,1
3,Acayucan,El Apompo,1
