Mes,Año,Gasto,Aguas,Presa
1,2018,170,Arriba,Cinco Palos
2,2018,153,Arriba,Cinco Palos
3,2018,129,Arriba,Cinco Palos
4,2018,107,Arriba,Cinco Palos
5,2018,87,Arriba,Cinco Palos
6,2018,337,Arriba,Cinco Palos
7,2018,287,Arriba,Cinco Palos
8,2018,748,Arriba,Cinco Palos
9,2018,882,Arriba,Cinco Palos
10,2018,674,Arriba,Cinco Palos
11,2018,703,Arriba,Cinco Palos
12,2018,265,Arriba,Cinco Palos
1,2019,176,Arriba,Cinco Palos
2,2019,151,Arriba,Cinco Palos
3,2019,127,Arriba,Cinco Palos
4,2019,119,Arriba,Cinco Palos
5,2019,72,Arriba,Cinco Palos
6,2019,156,Arriba,Cinco Palos
7,2019,332,Arriba,Cinco Palos
8,2019,538,Arriba,Cinco Palos
9,2019,607,Arriba,Cinco Palos
10,2019,640,Arriba,Cinco Palos
11,2019,432,Arriba,Cinco Palos
12,2019,236,Arriba,Cinco Palos
1,2020,177,Arriba,Cinco Palos
2,2020,127,Arriba,Cinco Palos
3,2020,103,Arriba,Cinco Palos
4,2020,87,Arriba,Cinco Palos
5,2020,86,Arriba,Cinco Palos
6,2020,169,Arriba,Cinco Palos
7,2020,359,Arriba,Cinco Palos
8,2020,648,Arriba,Cinco Palos
9,2020,633,Arriba,Cinco Palos
10,2020,524,Arriba,Cinco Palos
11,2020,NA,Arriba,Cinco Palos
12,2020,NA,Arriba,Cinco Palos
1,2018,94,Abajo,Cinco Palos
2,2018,79,Abajo,Cinco Palos
3,2018,60,Abajo,Cinco Palos
4,2018,44,Abajo,Cinco Palos
5,2018,19,Abajo,Cinco Palos
6,2018,275,Abajo,Cinco Palos
7,2018,224,Abajo,Cinco Palos
8,2018,758,Abajo,Cinco Palos
9,2018,811,Abajo,Cinco Palos
10,2018,606,Abajo,Cinco Palos
11,2018,631,Abajo,Cinco Palos
12,2018,193,Abajo,Cinco Palos
1,2019,105,Abajo,Cinco Palos
2,2019,83,Abajo,Cinco Palos
3,2019,55,Abajo,Cinco Palos
4,2019,47,Abajo,Cinco Palos
5,2019,7,Abajo,Cinco Palos
6,2019,91,Abajo,Cinco Palos
7,2019,260,Abajo,Cinco Palos
8,2019,460,Abajo,Cinco Palos
9,2019,533,Abajo,Cinco Palos
10,2019,484,Abajo,Cinco Palos
11,2019,348,Abajo,Cinco Palos
12,2019,151,Abajo,Cinco Palos
1,2020,86,Abajo,Cinco Palos
2,2020,41,Abajo,Cinco Palos
3,2020,23,Abajo,Cinco Palos
4,2020,12,Abajo,Cinco Palos
5,2020,10,Abajo,Cinco Palos
6,2020,95,Abajo,Cinco Palos
7,2020,282,Abajo,Cinco Palos
8,2020,581,Abajo,Cinco Palos
9,2020,557,Abajo,Cinco Palos
10,2020,448,Abajo,Cinco Palos
11,2020,NA,Abajo,Cinco Palos
12,2020,NA,Abajo,Cinco Palos
