Mes,Año,Gasto,Aguas,Presa
01,2018,133,Arriba,Socoyolapan
02,2018,129,Arriba,Socoyolapan
03,2018,113,Arriba,Socoyolapan
04,2018,98,Arriba,Socoyolapan
05,2018,69,Arriba,Socoyolapan
06,2018,400,Arriba,Socoyolapan
07,2018,222,Arriba,Socoyolapan
08,2018,538,Arriba,Socoyolapan
09,2018,884,Arriba,Socoyolapan
10,2018,684,Arriba,Socoyolapan
11,2018,688,Arriba,Socoyolapan
12,2018,292,Arriba,Socoyolapan
01,2019,168,Arriba,Socoyolapan
02,2019,109,Arriba,Socoyolapan
03,2019,129,Arriba,Socoyolapan
04,2019,133,Arriba,Socoyolapan
05,2019,70,Arriba,Socoyolapan
06,2019,168,Arriba,Socoyolapan
07,2019,306,Arriba,Socoyolapan
08,2019,534,Arriba,Socoyolapan
09,2019,580,Arriba,Socoyolapan
10,2019,588,Arriba,Socoyolapan
11,2019,302,Arriba,Socoyolapan
12,2019,179,Arriba,Socoyolapan
01,2020,144,Arriba,Socoyolapan
02,2020,127,Arriba,Socoyolapan
03,2020,89,Arriba,Socoyolapan
04,2020,75,Arriba,Socoyolapan
05,2020,82,Arriba,Socoyolapan
06,2020,243,Arriba,Socoyolapan
07,2020,227,Arriba,Socoyolapan
08,2020,588,Arriba,Socoyolapan
09,2020,602,Arriba,Socoyolapan
10,2020,447,Arriba,Socoyolapan
11,2020,NA,Arriba,Socoyolapan
12,2020,NA,Arriba,Socoyolapan
01,2018,48,Abajo,Socoyolapan
02,2018,45,Abajo,Socoyolapan
03,2018,38,Abajo,Socoyolapan
04,2018,24,Abajo,Socoyolapan
05,2018,9,Abajo,Socoyolapan
06,2018,325,Abajo,Socoyolapan
07,2018,151,Abajo,Socoyolapan
08,2018,464,Abajo,Socoyolapan
09,2018,808,Abajo,Socoyolapan
10,2018,610,Abajo,Socoyolapan
11,2018,609,Abajo,Socoyolapan
12,2018,212,Abajo,Socoyolapan
01,2019,96,Abajo,Socoyolapan
02,2019,35,Abajo,Socoyolapan
03,2019,47,Abajo,Socoyolapan
04,2019,58,Abajo,Socoyolapan
05,2019,4,Abajo,Socoyolapan
06,2019,96,Abajo,Socoyolapan
07,2019,229,Abajo,Socoyolapan
08,2019,454,Abajo,Socoyolapan
09,2019,489,Abajo,Socoyolapan
10,2019,455,Abajo,Socoyolapan
11,2019,213,Abajo,Socoyolapan
12,2019,91,Abajo,Socoyolapan
01,2020,52,Abajo,Socoyolapan
02,2020,34,Abajo,Socoyolapan
03,2020,10,Abajo,Socoyolapan
04,2020,7,Abajo,Socoyolapan
05,2020,7,Abajo,Socoyolapan
06,2020,167,Abajo,Socoyolapan
07,2020,136,Abajo,Socoyolapan
08,2020,519,Abajo,Socoyolapan
09,2020,523,Abajo,Socoyolapan
10,2020,362,Abajo,Socoyolapan
11,2020,NA,Abajo,Socoyolapan
12,2020,NA,Abajo,Socoyolapan
