Año,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,,,
Fecha,28/01/05,12/04/05,23/07/05,14/10/05,12/01/06,24/04/06,05/07/06,31/08/06,18/01/07,04/05/07,02/08/07,07/12/07,07/02/08,21/04/08,04/08/08,13/10/08,16/02/09,11/05/09,17/08/09,09/11/09,01/03/10,17/05/10,09/08/10,16/11/10,21/02/11,23/05/11,05/09/11,28/11/11,27/02/12,21/05/12,13/08/12,26/11/12,04/03/13,20/05/13,08/07/13,11/11/13,10/03/14,05/06/14,25/08/14,11/11/14,02/03/15,21/05/15,24/08/15,23/11/15,29/02/16,30/05/16,08/08/16,14/11/16,06/03/17,12/06/17,28/01/17,27/11/17,27/02/18,21/03/18,31/07/18,12/11/18,25/02/19,20/05/19,19/08/19,19/11/19,09/03/20,25/05/20,24/08/20,23/11/20,01/03/21,,,
pH    In situ,7.60,7.04,7.80,7.21,7.85,6.68,6.84,6.25,6.85,6.68,6.35,7.07,6.79,6.76,7.80,7.10,6.80,7.30,7.30,6.50,7.52,7.00,7.00,7.00,7.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Temperatura del Agua ,13.50,19.00,16.80,14.70,12.30,16.00,16.50,16.40,11.90,18.00,15.00,16.00,17.00,22.00,18.50,16.00,13.00,20.00,19.00,15.00,17.00,19.00,18.00,17.00,16.00,17.00,16.00,11.00,15.00,16.00,17.00,17.00,11.00,21.00,16.00,14.00,14.00,13.00,19.00,13.00,13.00,16.00,18.00,14.00,15.00,17.00,17.00,16.00,17.00,17.00,16.00,12.00,16.00,14.00,17.00,17.00,16.00,20.00,17.00,8.00,16.00,15.00,16.00,15.00,19.00,,,
Temperatura del ambiente ,NA,NA,NA,NA,21.10,22.00,20.00,25.60,14.50,24.00,20.00,24.00,22.00,26.00,22.00,23.00,17.00,19.00,22.00,20.00,25.00,29.00,26.00,23.00,24.00,31.00,24.00,15.00,24.00,22.00,24.00,23.00,24.00,29.00,23.00,24.00,18.00,26.00,28.00,26.00,28.00,25.00,26.00,18.00,21.00,28.00,26.00,24.00,26.00,26.00,26.00,18.00,28.00,25.00,27.00,26.00,22.00,30.00,26.00,18.00,24.00,22.00,24.00,24.00,27.00,,,
Materia Flotante,ausente,NA,ausente,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,ausente,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,41.10,ausente,ausente,ausente,ausente,,,
Olor,inodoro,NA,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,
Cloro residual,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Conductividad ,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
pH ,7.91,7.01,7.24,7.15,7.50,7.41,7.30,6.25,7.79,6.94,7.09,7.31,7.57,7.63,7.01,6.95,6.76,7.83,7.34,7.46,7.52,7.24,7.09,6.76,6.82,7.08,7.11,6.63,7.36,7.17,7.38,7.31,7.21,7.56,7.32,7.22,7.30,7.75,7.52,7.56,7.54,7.32,7.46,7.53,7.85,7.38,7.30,7.70,7.92,7.77,7.28,7.05,7.68,7.47,7.73,7.40,7.80,7.90,7.95,7.70,7.72,7.40,8.02,7.84,7.83,,,
